Nama Pennguna,Teks Ulasan,Rating,Waktu Ulasan,casefolding,cleaning,stopword_removal,tokenizing,stemming
Munif Vanani,kenapa dana cicil saya belum tersedia,5,7/7/2025 15:03,kenapa dana cicil saya belum tersedia,kenapa dana cicil saya belum tersedia,dana cicil tersedia,"['dana', 'cicil', 'tersedia']",dana cicil sedia
Baso Awaluddin,"makasih,❤️",5,7/7/2025 15:03,"makasih,❤️",makasih,makasih,['makasih'],makasih
Haikal zurya,sangat membantuku,5,7/7/2025 15:00,sangat membantuku,sangat membantuku,sangat membantuku,"['sangat', 'membantuku']",sangat bantu
Zaenal Abi,tidak bisa membantu sma skali,1,7/7/2025 14:59,tidak bisa membantu sma skali,tidak bisa membantu sma skali,membantu sma skali,"['membantu', 'sma', 'skali']",bantu sma skali
Yanto To,baik nanbet,5,7/7/2025 14:57,baik nanbet,baik nanbet,baik nanbet,"['baik', 'nanbet']",baik nanbet
Muhammad Fikri,"untuk pihak dana,tolong tambahkan bantuan untuk mengembalikan akun yang lupa nomor hp. Karena itu syarat utama login ke akunnya,kan bisa cek identitas KTP lagi untuk mengembalikan akun dan mengganti nomor hp yang baru,akun saudara saya tidak bisa login lagi karena lupa nomor hp nya,dan untuk membuat akun baru pun yang premium pakai KTP yg sama sudah tidak bisa,karena data KTP yg sebelumnya masih di akun yang tidak bisa login tadi.. tolong tambahkan bantuan login lupa nomor hp di menu awalnya 🙏",1,7/7/2025 14:56,"untuk pihak dana,tolong tambahkan bantuan untuk mengembalikan akun yang lupa nomor hp. karena itu syarat utama login ke akunnya,kan bisa cek identitas ktp lagi untuk mengembalikan akun dan mengganti nomor hp yang baru,akun saudara saya tidak bisa login lagi karena lupa nomor hp nya,dan untuk membuat akun baru pun yang premium pakai ktp yg sama sudah tidak bisa,karena data ktp yg sebelumnya masih di akun yang tidak bisa login tadi.. tolong tambahkan bantuan login lupa nomor hp di menu awalnya 🙏",untuk pihak danatolong tambahkan bantuan untuk mengembalikan akun yang lupa nomor hp karena itu syarat utama login ke akunnyakan bisa cek identitas ktp lagi untuk mengembalikan akun dan mengganti nomor hp yang baruakun saudara saya tidak bisa login lagi karena lupa nomor hp nyadan untuk membuat akun baru pun yang premium pakai ktp yg sama sudah tidak bisakarena data ktp yg sebelumnya masih di akun yang tidak bisa login tadi tolong tambahkan bantuan login lupa nomor hp di menu awalnya,pihak danatolong tambahkan bantuan mengembalikan akun lupa nomor hp syarat utama login akunnyakan cek identitas ktp mengembalikan akun mengganti nomor hp baruakun saudara login lupa nomor hp nyadan membuat akun baru premium pakai ktp yg sama bisakarena data ktp yg sebelumnya akun login tadi tambahkan bantuan login lupa nomor hp menu awalnya,"['pihak', 'danatolong', 'tambahkan', 'bantuan', 'mengembalikan', 'akun', 'lupa', 'nomor', 'hp', 'syarat', 'utama', 'login', 'akunnyakan', 'cek', 'identitas', 'ktp', 'mengembalikan', 'akun', 'mengganti', 'nomor', 'hp', 'baruakun', 'saudara', 'login', 'lupa', 'nomor', 'hp', 'nyadan', 'membuat', 'akun', 'baru', 'premium', 'pakai', 'ktp', 'yg', 'sama', 'bisakarena', 'data', 'ktp', 'yg', 'sebelumnya', 'akun', 'login', 'tadi', 'tambahkan', 'bantuan', 'login', 'lupa', 'nomor', 'hp', 'menu', 'awalnya']",pihak danatolong tambah bantu kembali akun lupa nomor hp syarat utama login akunnyakan cek identitas ktp kembali akun ganti nomor hp baruakun saudara login lupa nomor hp nyadan buat akun baru premium pakai ktp yg sama bisakarena data ktp yg belum akun login tadi tambah bantu login lupa nomor hp menu awal
Irpan Ruhimat,kenapa dana saya transfer sendiri 2x pertama 200.000 ke 2 50.000 itu bagai mana,1,7/7/2025 14:53,kenapa dana saya transfer sendiri 2x pertama 200.000 ke 2 50.000 itu bagai mana,kenapa dana saya transfer sendiri x pertama ke itu bagai mana,dana transfer sendiri x pertama bagai mana,"['dana', 'transfer', 'sendiri', 'x', 'pertama', 'bagai', 'mana']",dana transfer sendiri x pertama bagai mana
Ety Nataly,mantaap dan cepaat,5,7/7/2025 14:53,mantaap dan cepaat,mantaap dan cepaat,mantaap cepaat,"['mantaap', 'cepaat']",mantaap cepaat
Terserah Sampean,tidak bisa ganti nomor akun dana,5,7/7/2025 14:47,tidak bisa ganti nomor akun dana,tidak bisa ganti nomor akun dana,ganti nomor akun dana,"['ganti', 'nomor', 'akun', 'dana']",ganti nomor akun dana
agus rbn,saya sudah premium tapi kenapa harus di minta kode otp setiap saya kluar di akun dana saya... sedang itu nomornay tidak aktiv lagi,2,7/7/2025 14:45,saya sudah premium tapi kenapa harus di minta kode otp setiap saya kluar di akun dana saya... sedang itu nomornay tidak aktiv lagi,saya sudah premium tapi kenapa harus di minta kode otp setiap saya kluar di akun dana saya sedang itu nomornay tidak aktiv lagi,premium minta kode otp kluar akun dana sedang nomornay aktiv,"['premium', 'minta', 'kode', 'otp', 'kluar', 'akun', 'dana', 'sedang', 'nomornay', 'aktiv']",premium minta kode otp kluar akun dana sedang nomornay aktiv
Ulay Vlexsia,"dana cicil tidak bisa digunakan, padahal tagihan semua sudah terbayar dan limitnya juga masih ada",3,7/7/2025 14:43,"dana cicil tidak bisa digunakan, padahal tagihan semua sudah terbayar dan limitnya juga masih ada",dana cicil tidak bisa digunakan padahal tagihan semua sudah terbayar dan limitnya juga masih ada,dana cicil digunakan padahal tagihan semua terbayar limitnya,"['dana', 'cicil', 'digunakan', 'padahal', 'tagihan', 'semua', 'terbayar', 'limitnya']",dana cicil guna padahal tagih semua bayar limit
Budi Hartono,Sangat Puas,5,7/7/2025 14:42,sangat puas,sangat puas,sangat puas,"['sangat', 'puas']",sangat puas
Herman Mbelong,mohon di bantu admin dana sya gak bisa masuk harus pakai kode otp tpi nomor sudah tidak aktif lagi.. biasa nya pakai scan wajah saja bisa kenapa sekarang harus pakai otp juga.. tolong di bantu admin dana.. gimana caranya sya bisa masuk akun dana tapi nomor hp nya sudah tidak aktif lagi.. saldo di dana masih bnyak.. mohon bantuan nya,5,7/7/2025 14:36,mohon di bantu admin dana sya gak bisa masuk harus pakai kode otp tpi nomor sudah tidak aktif lagi.. biasa nya pakai scan wajah saja bisa kenapa sekarang harus pakai otp juga.. tolong di bantu admin dana.. gimana caranya sya bisa masuk akun dana tapi nomor hp nya sudah tidak aktif lagi.. saldo di dana masih bnyak.. mohon bantuan nya,mohon di bantu admin dana sya gak bisa masuk harus pakai kode otp tpi nomor sudah tidak aktif lagi biasa nya pakai scan wajah saja bisa kenapa sekarang harus pakai otp juga tolong di bantu admin dana gimana caranya sya bisa masuk akun dana tapi nomor hp nya sudah tidak aktif lagi saldo di dana masih bnyak mohon bantuan nya,mohon bantu admin dana sya gak masuk pakai kode otp tpi nomor aktif biasa nya pakai scan wajah sekarang pakai otp bantu admin dana gimana caranya sya masuk akun dana nomor hp nya aktif saldo dana bnyak mohon bantuan nya,"['mohon', 'bantu', 'admin', 'dana', 'sya', 'gak', 'masuk', 'pakai', 'kode', 'otp', 'tpi', 'nomor', 'aktif', 'biasa', 'nya', 'pakai', 'scan', 'wajah', 'sekarang', 'pakai', 'otp', 'bantu', 'admin', 'dana', 'gimana', 'caranya', 'sya', 'masuk', 'akun', 'dana', 'nomor', 'hp', 'nya', 'aktif', 'saldo', 'dana', 'bnyak', 'mohon', 'bantuan', 'nya']",mohon bantu admin dana sya gak masuk pakai kode otp tpi nomor aktif biasa nya pakai scan wajah sekarang pakai otp bantu admin dana gimana cara sya masuk akun dana nomor hp nya aktif saldo dana bnyak mohon bantu nya
Nana Andriansyah,uang gua hilang apk dana.dan gak tanggung jawab pihak dana nya,1,7/7/2025 14:34,uang gua hilang apk dana.dan gak tanggung jawab pihak dana nya,uang gua hilang apk danadan gak tanggung jawab pihak dana nya,uang gua hilang apk danadan gak tanggung jawab pihak dana nya,"['uang', 'gua', 'hilang', 'apk', 'danadan', 'gak', 'tanggung', 'jawab', 'pihak', 'dana', 'nya']",uang gua hilang apk danadan gak tanggung jawab pihak dana nya
acin andriyatna,gua sudah puluhan tahun menggunakan apk dana. dan saya sangat kecewa. pas ada dana cicil. dan saya coba pinjam saya langsung lunasi pas saya butuh ko dana cicil ga bisa di gunakan.dana monyet padahal saya ga pernah kelewat jatuh tempo pas lunas ga bisa pinjam lagi monyet sangat kecewa. malas sekarang apke dana. sudah berapa tahun saya menggunakan apk dan sekarang sangat kecewa. ga bakalan lama lagi apk dana ga bakalan ber kembang. karna bikin kekecewaan.,1,7/7/2025 14:32,gua sudah puluhan tahun menggunakan apk dana. dan saya sangat kecewa. pas ada dana cicil. dan saya coba pinjam saya langsung lunasi pas saya butuh ko dana cicil ga bisa di gunakan.dana monyet padahal saya ga pernah kelewat jatuh tempo pas lunas ga bisa pinjam lagi monyet sangat kecewa. malas sekarang apke dana. sudah berapa tahun saya menggunakan apk dan sekarang sangat kecewa. ga bakalan lama lagi apk dana ga bakalan ber kembang. karna bikin kekecewaan.,gua sudah puluhan tahun menggunakan apk dana dan saya sangat kecewa pas ada dana cicil dan saya coba pinjam saya langsung lunasi pas saya butuh ko dana cicil ga bisa di gunakandana monyet padahal saya ga pernah kelewat jatuh tempo pas lunas ga bisa pinjam lagi monyet sangat kecewa malas sekarang apke dana sudah berapa tahun saya menggunakan apk dan sekarang sangat kecewa ga bakalan lama lagi apk dana ga bakalan ber kembang karna bikin kekecewaan,gua puluhan tahun menggunakan apk dana sangat kecewa pas dana cicil coba pinjam langsung lunasi pas butuh ko dana cicil ga gunakandana monyet padahal ga pernah kelewat jatuh tempo pas lunas ga pinjam monyet sangat kecewa malas sekarang apke dana berapa tahun menggunakan apk sekarang sangat kecewa ga bakalan lama apk dana ga bakalan ber kembang karna bikin kekecewaan,"['gua', 'puluhan', 'tahun', 'menggunakan', 'apk', 'dana', 'sangat', 'kecewa', 'pas', 'dana', 'cicil', 'coba', 'pinjam', 'langsung', 'lunasi', 'pas', 'butuh', 'ko', 'dana', 'cicil', 'ga', 'gunakandana', 'monyet', 'padahal', 'ga', 'pernah', 'kelewat', 'jatuh', 'tempo', 'pas', 'lunas', 'ga', 'pinjam', 'monyet', 'sangat', 'kecewa', 'malas', 'sekarang', 'apke', 'dana', 'berapa', 'tahun', 'menggunakan', 'apk', 'sekarang', 'sangat', 'kecewa', 'ga', 'bakalan', 'lama', 'apk', 'dana', 'ga', 'bakalan', 'ber', 'kembang', 'karna', 'bikin', 'kekecewaan']",gua puluh tahun guna apk dana sangat kecewa pas dana cicil coba pinjam langsung lunas pas butuh ko dana cicil ga gunakandana monyet padahal ga pernah lewat jatuh tempo pas lunas ga pinjam monyet sangat kecewa malas sekarang apke dana berapa tahun guna apk sekarang sangat kecewa ga bakal lama apk dana ga bakal ber kembang karna bikin kecewa
Muhamad Kamaludin Nurdiansah,"smua layanan fitur chat atau call center juga tidak bsa mnemukan masalah , saya udh 2 kali pemindahan akun blm jg ada blsn . saldo saya tidak bsa di pakai . kecewa pdhal diprooritas kan . mnjadi transaksi utama",1,7/7/2025 14:29,"smua layanan fitur chat atau call center juga tidak bsa mnemukan masalah , saya udh 2 kali pemindahan akun blm jg ada blsn . saldo saya tidak bsa di pakai . kecewa pdhal diprooritas kan . mnjadi transaksi utama",smua layanan fitur chat atau call center juga tidak bsa mnemukan masalah saya udh kali pemindahan akun blm jg ada blsn saldo saya tidak bsa di pakai kecewa pdhal diprooritas kan mnjadi transaksi utama,smua layanan fitur chat call center bsa mnemukan masalah udh kali pemindahan akun blm jg blsn saldo bsa pakai kecewa pdhal diprooritas kan mnjadi transaksi utama,"['smua', 'layanan', 'fitur', 'chat', 'call', 'center', 'bsa', 'mnemukan', 'masalah', 'udh', 'kali', 'pemindahan', 'akun', 'blm', 'jg', 'blsn', 'saldo', 'bsa', 'pakai', 'kecewa', 'pdhal', 'diprooritas', 'kan', 'mnjadi', 'transaksi', 'utama']",smua layan fitur chat call center bsa mnemukan masalah udh kali pindah akun blm jg blsn saldo bsa pakai kecewa pdhal diprooritas kan mnjadi transaksi utama
Siahaan 1877,puas,5,7/7/2025 14:24,puas,puas,puas,['puas'],puas
Ridho Toyyib,bintang yg berbicara,5,7/7/2025 14:24,bintang yg berbicara,bintang yg berbicara,bintang yg berbicara,"['bintang', 'yg', 'berbicara']",bintang yg bicara
Jejen Zaenuri,sya sudah 2 x hilang saldo..saya benar kecewa...,1,7/7/2025 14:23,sya sudah 2 x hilang saldo..saya benar kecewa...,sya sudah x hilang saldosaya benar kecewa,sya x hilang saldosaya benar kecewa,"['sya', 'x', 'hilang', 'saldosaya', 'benar', 'kecewa']",sya x hilang saldosaya benar kecewa
Khoirullah tingkywingky,"sekarang make dana sudah tidak aman tiba"" duit saya ilang sebesar 300 dan chat adminnya rsponnya lama . kaga bagus dan tidak aman naro duit di aplikasi dana",1,7/7/2025 14:22,"sekarang make dana sudah tidak aman tiba"" duit saya ilang sebesar 300 dan chat adminnya rsponnya lama . kaga bagus dan tidak aman naro duit di aplikasi dana",sekarang make dana sudah tidak aman tiba duit saya ilang sebesar dan chat adminnya rsponnya lama kaga bagus dan tidak aman naro duit di aplikasi dana,sekarang make dana aman tiba duit ilang sebesar chat adminnya rsponnya lama kaga bagus aman naro duit aplikasi dana,"['sekarang', 'make', 'dana', 'aman', 'tiba', 'duit', 'ilang', 'sebesar', 'chat', 'adminnya', 'rsponnya', 'lama', 'kaga', 'bagus', 'aman', 'naro', 'duit', 'aplikasi', 'dana']",sekarang make dana aman tiba duit ilang besar chat adminnya rsponnya lama kaga bagus aman naro duit aplikasi dana
innamahalusriyusro,sangat baik sangat bermanfaat,5,7/7/2025 14:20,sangat baik sangat bermanfaat,sangat baik sangat bermanfaat,sangat baik sangat bermanfaat,"['sangat', 'baik', 'sangat', 'bermanfaat']",sangat baik sangat manfaat
Putrasyadewa,mau upgrade ke dana premium gagal terus kasih bintang 5 aja dah,5,7/7/2025 14:19,mau upgrade ke dana premium gagal terus kasih bintang 5 aja dah,mau upgrade ke dana premium gagal terus kasih bintang aja dah,mau upgrade dana premium gagal terus kasih bintang aja dah,"['mau', 'upgrade', 'dana', 'premium', 'gagal', 'terus', 'kasih', 'bintang', 'aja', 'dah']",mau upgrade dana premium gagal terus kasih bintang aja dah
Yaya Ow,sangatembantu,5,7/7/2025 14:15,sangatembantu,sangatembantu,sangatembantu,['sangatembantu'],sangatembantu
Dicky Dicky,sangat mudah digunakan ngirim dan tranfer sangat lah simpel dan mudah,5,7/7/2025 14:15,sangat mudah digunakan ngirim dan tranfer sangat lah simpel dan mudah,sangat mudah digunakan ngirim dan tranfer sangat lah simpel dan mudah,sangat mudah digunakan ngirim tranfer sangat lah simpel mudah,"['sangat', 'mudah', 'digunakan', 'ngirim', 'tranfer', 'sangat', 'lah', 'simpel', 'mudah']",sangat mudah guna ngirim tranfer sangat lah simpel mudah
Suyanto,transfer uang lebih mudah dan cepat dengan fitur dana,5,7/7/2025 14:13,transfer uang lebih mudah dan cepat dengan fitur dana,transfer uang lebih mudah dan cepat dengan fitur dana,transfer uang lebih mudah cepat fitur dana,"['transfer', 'uang', 'lebih', 'mudah', 'cepat', 'fitur', 'dana']",transfer uang lebih mudah cepat fitur dana
Aep Saepulloh,sangat membantu untuk transaksi sehari hari,5,7/7/2025 14:13,sangat membantu untuk transaksi sehari hari,sangat membantu untuk transaksi sehari hari,sangat membantu transaksi sehari hari,"['sangat', 'membantu', 'transaksi', 'sehari', 'hari']",sangat bantu transaksi hari hari
Ahmad Faozan,dana cicilku nggk bisa di pkek pakek bantu tim dana,5,7/7/2025 14:12,dana cicilku nggk bisa di pkek pakek bantu tim dana,dana cicilku nggk bisa di pkek pakek bantu tim dana,dana cicilku nggk pkek pakek bantu tim dana,"['dana', 'cicilku', 'nggk', 'pkek', 'pakek', 'bantu', 'tim', 'dana']",dana cicil nggk pkek pakek bantu tim dana
Ananda saiful Amin,"sangat membantu dan gratis biaya , mantap pokoknya",5,7/7/2025 14:10,"sangat membantu dan gratis biaya , mantap pokoknya",sangat membantu dan gratis biaya mantap pokoknya,sangat membantu gratis biaya mantap pokoknya,"['sangat', 'membantu', 'gratis', 'biaya', 'mantap', 'pokoknya']",sangat bantu gratis biaya mantap pokok
Susilo jaler,"DANA sudh tidak aman, dana bisa transaksi tanpa konfirmasi dulu, tau tu uang hilang...",1,7/7/2025 14:10,"dana sudh tidak aman, dana bisa transaksi tanpa konfirmasi dulu, tau tu uang hilang...",dana sudh tidak aman dana bisa transaksi tanpa konfirmasi dulu tau tu uang hilang,dana sudh aman dana transaksi konfirmasi dulu tau tu uang hilang,"['dana', 'sudh', 'aman', 'dana', 'transaksi', 'konfirmasi', 'dulu', 'tau', 'tu', 'uang', 'hilang']",dana sudh aman dana transaksi konfirmasi dulu tau tu uang hilang
Ket Jung,baik,5,7/7/2025 14:07,baik,baik,baik,['baik'],baik
Ahmad Edo prasetiyo,pin sudah di ganti masih aja muncul tulisan ingat ingan pin kamu,1,7/7/2025 14:04,pin sudah di ganti masih aja muncul tulisan ingat ingan pin kamu,pin sudah di ganti masih aja muncul tulisan ingat ingan pin kamu,pin ganti aja muncul tulisan ingat ingan pin kamu,"['pin', 'ganti', 'aja', 'muncul', 'tulisan', 'ingat', 'ingan', 'pin', 'kamu']",pin ganti aja muncul tulis ingat ingan pin kamu
Dodi Tri Nanda,saldo e-money brizzi saya tidak bertambah setelah top up pakai aplikasi Dana. sudah buat laporan tapi tidak selesai.,1,7/7/2025 14:04,saldo e-money brizzi saya tidak bertambah setelah top up pakai aplikasi dana. sudah buat laporan tapi tidak selesai.,saldo emoney brizzi saya tidak bertambah setelah top up pakai aplikasi dana sudah buat laporan tapi tidak selesai,saldo emoney brizzi bertambah top up pakai aplikasi dana buat laporan selesai,"['saldo', 'emoney', 'brizzi', 'bertambah', 'top', 'up', 'pakai', 'aplikasi', 'dana', 'buat', 'laporan', 'selesai']",saldo emoney brizzi tambah top up pakai aplikasi dana buat lapor selesai
Eti Atisah,aplikasi berkedok maling .. dan tidak ada bertanggung jawab nya pihak dana,1,7/7/2025 14:03,aplikasi berkedok maling .. dan tidak ada bertanggung jawab nya pihak dana,aplikasi berkedok maling dan tidak ada bertanggung jawab nya pihak dana,aplikasi berkedok maling bertanggung jawab nya pihak dana,"['aplikasi', 'berkedok', 'maling', 'bertanggung', 'jawab', 'nya', 'pihak', 'dana']",aplikasi kedok maling tanggung jawab nya pihak dana
Topan Adistiono92,"aplikasi ini membuat saya menjadi lebih mudah dalam bertransaksi antar bank dan lainnya,,,sangat aman dalam penyimpanan data dan uang,,, pokok nya keren dan sangat bagus untuk di gunakan,,,",5,7/7/2025 14:00,"aplikasi ini membuat saya menjadi lebih mudah dalam bertransaksi antar bank dan lainnya,,,sangat aman dalam penyimpanan data dan uang,,, pokok nya keren dan sangat bagus untuk di gunakan,,,",aplikasi ini membuat saya menjadi lebih mudah dalam bertransaksi antar bank dan lainnyasangat aman dalam penyimpanan data dan uang pokok nya keren dan sangat bagus untuk di gunakan,aplikasi membuat menjadi lebih mudah bertransaksi antar bank lainnyasangat aman penyimpanan data uang pokok nya keren sangat bagus gunakan,"['aplikasi', 'membuat', 'menjadi', 'lebih', 'mudah', 'bertransaksi', 'antar', 'bank', 'lainnyasangat', 'aman', 'penyimpanan', 'data', 'uang', 'pokok', 'nya', 'keren', 'sangat', 'bagus', 'gunakan']",aplikasi buat jadi lebih mudah transaksi antar bank lainnyasangat aman simpan data uang pokok nya keren sangat bagus guna
